william winslow " ( ron perlman ) , the chief psychiatrist at brookdale .	objective
by the end , only one thing is certain - justice is simply a toss of the coin .	objective
the film is almost eerily calm and refuses to take sides . but that lets its insights penetrate all the deeper .	subjective
i've had more interesting -- and , dare i say , thematically complex -- bowel movements than this long-on-the-shelf , point-and-shoot exercise in gimmicky crime drama .	subjective
i know that i'll never listen to marvin gaye or the supremes the same way again	subjective
it all starts to smack of a hallmark hall of fame , with a few four letter words thrown in that are generally not heard on television .	subjective
a strong first quarter , slightly less so second quarter , and average second half .	subjective
the results are as giddy , painful , sad and loving as real life tends to be .	objective
" mudbloods " ( people of muggle families ) are " petrified " by an evil monster lurking in the grounds .	objective
edi is wrongly accused of having raped the girl whose brothers have got the control over one of the city areas .	objective
a movie that will surely be profane , politically charged music to the ears of cho's fans .	subjective
and the little red light from a laser rifle sight is proof that the caller isn't kidding .	objective
the stunt work is top-notch ; the dialogue and drama often food-spittingly funny .	subjective
the director and her capable cast appear to be caught in a heady whirl of new age-inspired good intentions , but the spell they cast isn't the least bit mesmerizing .	subjective
ain't no mountain high enough to keep the funk brothers from getting to you .	subjective
nicholson's understated performance is wonderful . as warren he stumbles in search of all the emotions and life experiences he's neglected over the years .	subjective
elaborate special effects take centre screen , so that the human story is pushed to one side .	subjective
some people march to the beat of a different drum , and if you ever wondered what kind of houses those people live in , this documentary takes a look at 5 alternative housing options .	subjective
the level of maturity displayed by this 33-year-old first-time feature director is astonishing , considering her inexperience and her subject matter .	subjective
when two african american pilots become the first non-white soldiers in the camp , one turns up murdered and the other accused of killing a white sergeant .	objective
may be far from the best of the series , but it's assured , wonderfully respectful of its past and thrilling enough to make it abundantly clear that this movie phenomenon has once again reinvented itself for a new generation .	subjective
when lucy discovers jack is from the neighborhood she grew up in , she is determined to learn how this man could fall from the comfort of suburbia to living on the streets .	objective
witt plays a young harvard graduate who also represents grant's character .	objective
set against the majestic landscape of canada's bay of fundy and the highest tides in the world , black swan is a dark comedy that weaves the innocent world of childhood , against the adult world of love , betrayal and murder .	objective
though lan yu lacks a sense of dramatic urgency , the film makes up for it with a pleasing verisimilitude .	subjective
disillusioned and with no money the secret knight joins the crusaders and embarks on new adventures .	objective
the council reluctantly admits that they are in a dire situation and they require blade's assistance .	objective
this is a smart movie that knows its classical music , knows its freud and knows its sade .	subjective
maggie's father , yayo , runs a successful bakery , steve is a politician , elena is a fashion designer , ms . al seeks love , conrado is a bashful deliveryman , and mateo is looking for a chance in life .	objective
it is most remarkable not because of its epic scope , but because of the startling intimacy it achieves despite that breadth .	subjective
isabel is a naive provincial lass who works as an indigenous fabric weaver while clara is the liberated city girl .	objective
five screenwriters are credited with the cliché-laden screenplay ; it seems as if each watered down the version of the one before .	subjective
the sort of movie that gives tastelessness a bad rap .	subjective
even if you feel like you've seen this movie a thousand times before , it is kind of enjoyable thanks mainly to belushi's easy-going likableness .	subjective
the elders hope to return home quickly but their new friend has other plans .	objective
a rare mutation has occurred within the vampire community .	objective
while it doesn't expose any new truths about the problems posed by reaching middle age , it reflects wisely on the truths that already exist .	subjective
an epic journey across an unforgiving landscape that will test their very will to survive .	objective
soon , he finds that his fellow patients are being murdered one by one .	objective
the story takes place in rural vermont , against the backdrop of the state capitol , where civil union laws are being debated along with gun control and dwis .	objective
a waterlogged version of 'fatal attraction' for the teeny-bopper set . . . a sad , soggy potboiler that wastes the talents of its attractive young leads .	subjective
a lean , deftly shot , well-acted , weirdly retro thriller that recalls a raft of '60s and '70s european-set spy pictures .	subjective
romy jumps on board with eagle , and takes command , as the pair rescue each other in a tense and action-packed scene .	objective
he is a cop , and chances are he's going to make some trouble for vince too .	objective
when fran , ( paige turco ) walks into the prop house where he lives looking for unusual objects , chep immediately develops a crush .	objective
if signs is a good film , and it is , the essence of a great one is in there somewhere .	subjective
sinks so low in a poorly played game of absurd plot twists , idiotic court maneuvers and stupid characters that even freeman can't save it .	subjective
noyce films it more as a shocking history lesson than as drama .	subjective
but when sy begins spying on the yorkins , he begins to feel that he wants to be in the yorkin's life .	objective
one night , tobias knifes his father in the back , and escape to switzerland .	objective
but when charlie sees mallory with her new boyfriend , curtis , charlie realizes he's been replaced .	objective
like the best war movies -- and like martial literature going back to the iliad -- it balances the dreadful , unassuageable cruelty of warfare and the valor and decency of those who fight .	subjective
the storylines are woven together skilfully , the magnificent swooping aerial shots are breathtaking , and the overall experience is awesome .	subjective
ruled by instant gratification and material desires , they plot to steal a napoleon collection from one of their parents' homes .	objective
how can neil and stevie get out of their mistaken marriages and into each others arms ?	objective
harvard man is a semi-throwback , a reminiscence without nostalgia or sentimentality .	subjective
the story of j whose goal is to be world master at playing nintendo .	objective
the three roommates have proudly scammed their way through the last four years of college and now , during the final exams , these big-men-on-campus are about to be busted by the most unlikely dude in school .	objective
with no job possibilities on the horizon , the two dads open their own day care facility , " daddy day care " , and employ some fairly unconventional and sidesplitting methods of caring for children .	objective
color , musical bounce and warm seas lapping on island shores . and just enough science to send you home thinking .	subjective
he has returned as a ghost , but he can do nothing but passively observe as the police stand clueless to the murder .	objective
this masterfully calibrated psychological thriller thrives on its taut performances and creepy atmosphere even if the screenplay falls somewhat short .	subjective
the film takes place over the course of a day as anthony , victoria , michael and his wife , sarah , spend the afternoon dining , drinking , and soaking in the hot tub .	objective
the case gets more complicated , when even the police themselves appear to become suspects in the murders .	objective
they fool around for a while , but forget to get each other's names down at the end of the night .	objective
there's no denying that burns is a filmmaker with a bright future ahead of him .	subjective
as smoochy catapults to fame - scoring hit ratings and the affections of a jaded network executive randolph makes the unsuspecting rhino the target of his numerous outrageous attempts to exact revenge and reclaim his status as america's sweetheart .	objective
but someone breaks the link before they have finished and now a demon is trapped in their world and the only way to banish it , is for all the people who summoned it to die .	objective
when all seems hopeless , ted gets some guidance from his good friend meg that turns the situation around : " don't scam on her , listen to her , be sincere . "	objective
